"product_name","sentiment","total_reviews"
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)","neutral","28"
"Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neckband Bluetooth Headset??????(Green, In the Ear)","positive","250"
"Arpita Crafts HEARTHOME Wood Key Holder7 Hooks Beige","negative","17"
"Arpita Crafts HEARTHOME Wood Key Holder7 Hooks Beige","neutral","1"
"Arpita Crafts HEARTHOME Wood Key Holder7 Hooks Beige","positive","82"
"Arpita Crafts Wooden 2 Pocket Pen Stand Om Swastik 8 Hook Brown Wood Key Holder Wood Key Holder8 Hooks Brown","negative","23"
"Arpita Crafts Wooden 2 Pocket Pen Stand Om Swastik 8 Hook Brown Wood Key Holder Wood Key Holder8 Hooks Brown","neutral","10"
"Arpita Crafts Wooden 2 Pocket Pen Stand Om Swastik 8 Hook Brown Wood Key Holder Wood Key Holder8 Hooks Brown","positive","167"
"ArrowMax HIGH Quality Goggles Silicone Cap 1 Nose Clip + 2 Ear Plugs Swimming Kit Swimming Kit","negative","1"
"ArrowMax HIGH Quality Goggles Silicone Cap 1 Nose Clip + 2 Ear Plugs Swimming Kit Swimming Kit","neutral","1"
"ArrowMax HIGH Quality Goggles Silicone Cap 1 Nose Clip + 2 Ear Plugs Swimming Kit Swimming Kit","positive","8"
"ArrowMax HIGH QUALITY MEN SWIMMING COSTUME FREE SIZE (28in-34in) GOGGLES CAP 2 EARPLUG NOSE CLIP SWIMSUIT Swimming Kit","negative","9"
"ArrowMax HIGH QUALITY MEN SWIMMING COSTUME FREE SIZE (28in-34in) GOGGLES CAP 2 EARPLUG NOSE CLIP SWIMSUIT Swimming Kit","neutral","2"
"ArrowMax HIGH QUALITY MEN SWIMMING COSTUME FREE SIZE (28in-34in) GOGGLES CAP 2 EARPLUG NOSE CLIP SWIMSUIT Swimming Kit","positive","40"
"ArrowMax Professional Anti-slip Fitness (Black , pack of 2 ) Easy comfort Wrist Support??????(Black)","negative","3"
"ArrowMax Professional Anti-slip Fitness (Black , pack of 2 ) Easy comfort Wrist Support??????(Black)","neutral","6"
